# coordinates, ground truth
0.285007 0.807988 0.104161 0.142503 0.403994 0.0520803 0.0712517 0.201997 0.0260402 0.0356259 0.100998 0.0130201 0.0178129 0.0504992 0.00651004 0.00890646 0.0252496 0.00375857 0.00514215 0.0145779 	0.528797
0.269489 0.620001 0.0919431 0.134745 0.31 0.0459716 0.0673723 0.155 0.0229858 0.0336862 0.0775001 0.0114929 0.0168431 0.03875 0.00574645 0.00842154 0.019375 0.00331771 0.00486218 0.0111862 	-0.76445
0.363016 0.421614 0.184492 0.181508 0.210807 0.092246 0.0907539 0.105403 0.046123 0.045377 0.0527017 0.0230615 0.0226885 0.0263509 0.0115308 0.0113442 0.0131754 0.00665728 0.0065496 0.00760684 	0.656025
-0.023523 0.712318 0.000639325 -0.0117615 0.356159 0.000319662 -0.00588075 0.17808 0.000159831 -0.00294037 0.0890398 7.99156e-05 -0.00147019 0.0445199 3.99578e-05 -0.000735093 0.02226 2.30696e-05 -0.000424406 0.0128518 	2.57443
0.362501 0.712398 0.183831 0.18125 0.356199 0.0919157 0.0906252 0.178099 0.0459578 0.0453126 0.0890497 0.0229789 0.0226563 0.0445249 0.0114895 0.0113282 0.0222624 0.00663344 0.00654031 0.0128532 	0.0267798
0.245755 0.546305 0.0751445 0.122877 0.273153 0.0375722 0.0614386 0.136576 0.0187861 0.0307193 0.0682881 0.00939306 0.0153597 0.0341441 0.00469653 0.00767983 0.017072 0.00271154 0.00443395 0.00985654 	-1.18256
0.137115 0.47121 0.0221818 0.0685576 0.235605 0.0110909 0.0342788 0.117803 0.00554545 0.0171394 0.0589013 0.00277273 0.0085697 0.0294506 0.00138636 0.00428485 0.0147253 0.000800417 0.00247386 0.00850167 	-1.17534
0.239613 0.491785 0.0711432 0.119806 0.245892 0.0355716 0.0599032 0.122946 0.0177858 0.0299516 0.0614731 0.00889291 0.0149758 0.0307365 0.00444645 0.0074879 0.0153683 0.00256716 0.00432314 0.00887288 	-1.16275
0.0422322 0.525625 0.00206358 0.0211161 0.262812 0.00103179 0.0105581 0.131406 0.000515894 0.00527903 0.0657031 0.000257947 0.00263952 0.0328515 0.000128974 0.00131976 0.0164258 7.44629e-05 0.000761962 0.00948342 	-0.267613
0.371289 0.560331 0.195419 0.185645 0.280166 0.0977093 0.0928223 0.140083 0.0488546 0.0464111 0.0700414 0.0244273 0.0232056 0.0350207 0.0122137 0.0116028 0.0175104 0.00705156 0.00669887 0.0101096 	-0.00372657
0.398282 0.616302 0.235726 0.199141 0.308151 0.117863 0.0995706 0.154075 0.0589315 0.0497853 0.0770377 0.0294657 0.0248926 0.0385189 0.0147329 0.0124463 0.0192594 0.00850603 0.00718589 0.0111194 	0.584303
0.266736 0.777749 0.089881 0.133368 0.388875 0.0449405 0.066684 0.194437 0.0224703 0.033342 0.0972187 0.0112351 0.016671 0.0486093 0.00561756 0.0083355 0.0243047 0.0032433 0.00481251 0.0140323 	0.224974
0.277187 0.474979 0.0978754 0.138594 0.23749 0.0489377 0.0692968 0.118745 0.0244688 0.0346484 0.0593724 0.0122344 0.0173242 0.0296862 0.00611721 0.0086621 0.0148431 0.00353177 0.00500107 0.00856967 	-0.780197
0.223159 0.614487 0.0610791 0.11158 0.307243 0.0305396 0.0557898 0.153622 0.0152698 0.0278949 0.0768109 0.00763489 0.0139474 0.0384054 0.00381745 0.00697372 0.0192027 0.002204 0.00402628 0.0110867 	-0.981671
0.359799 0.52286 0.180399 0.1799 0.26143 0.0901993 0.0899498 0.130715 0.0450996 0.0449749 0.0653575 0.0225498 0.0224874 0.0326787 0.0112749 0.0112437 0.0163394 0.00650957 0.00649157 0.00943354 	-0.142912
0.0808729 0.568392 0.0076079 0.0404365 0.284196 0.00380395 0.0202182 0.142098 0.00190198 0.0101091 0.071049 0.000950988 0.00505456 0.0355245 0.000475494 0.00252728 0.0177623 0.000274526 0.00145912 0.010255 	-0.736336
0.306568 0.64636 0.122945 0.153284 0.32318 0.0614725 0.076642 0.16159 0.0307362 0.038321 0.080795 0.0153681 0.0191605 0.0403975 0.00768406 0.00958025 0.0201988 0.00443639 0.00553116 0.0116618 	-0.534007
0.164076 0.457401 0.0320736 0.0820382 0.228701 0.0160368 0.0410191 0.11435 0.00801839 0.0205096 0.0571751 0.00400919 0.0102548 0.0285876 0.0020046 0.00512739 0.0142938 0.00115735 0.0029603 0.00825252 	-1.16349
0.224481 0.479958 0.0618535 0.11224 0.239979 0.0309267 0.0561202 0.11999 0.0154634 0.0280601 0.0599948 0.00773168 0.0140301 0.0299974 0.00386584 0.00701503 0.0149987 0.00223194 0.00405013 0.0086595 	-1.19667
0.116606 0.635386 0.0159448 0.0583031 0.317693 0.00797242 0.0291515 0.158847 0.00398621 0.0145758 0.0794233 0.0019931 0.00728788 0.0397116 0.000996552 0.00364394 0.0198558 0.00057536 0.00210383 0.0114638 	-0.59739
